Classifier, Overall, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
1,80.3342,22.63,0.0948,0.9052,0.0546
2,78.3113,21.9,0.0868,0.9132,0.043
3,76.6051,22.63,0.0797,0.9203,0.0496
4,74.7581,22.63,0.0739,0.9261,0.0432
5,74.248,22.63,0.0724,0.9276,0.0423

LogisticRegression#2,80.0352,19.71,0.0969,0.9031,0.0581
SVC#2,75.1451,21.9,0.0757,0.9243,0.0403
MultinomialNB#2,51.117,30.659999999999997,0.0342,0.9658,0.0122
RandomForestClassifier#2,78.3113,21.9,0.0868,0.9132,0.047
DecisionTreeClassifier#2,73.1926,22.63,0.0696,0.9304,0.0427

LogisticRegression#3,78.0827,21.17,0.0867,0.9133,0.0522
SVC#3,73.4916,24.09,0.069,0.931,0.0405
MultinomialNB#3,46.9305,28.470000000000002,0.0325,0.9675,0.0106
RandomForestClassifier#3,76.6051,22.63,0.0797,0.9203,0.0496
DecisionTreeClassifier#3,72.6825,18.98,0.0715,0.9285,0.0393

LogisticRegression#POS5,78.0123,23.36,0.084,0.916,0.0496
SVC#POS5,71.6271,20.44,0.0676,0.9324,0.0384
MultinomialNB#POS5,50.6772,24.82,0.0367,0.9633,0.0143
RandomForestClassifier#POS5,77.5726,21.9,0.0839,0.9161,0.051
DecisionTreeClassifier#POS5,68.971,20.44,0.0618,0.9382,0.0351

LogisticRegression#POS4,78.4345,21.9,0.0873,0.9127,0.053
SVC#POS4,72.2427,24.82,0.0653,0.9347,0.033
MultinomialNB#POS4,51.3632,24.82,0.0373,0.9627,0.0152
RandomForestClassifier#POS4,77.942,21.9,0.0853,0.9147,0.0502
DecisionTreeClassifier#POS4,68.584,24.09,0.0582,0.9418,0.0364
