,Word,Count,cum_percent
0,of,31860,28.02480538329595
1,in,19052,44.78339270792101
2,for,10278,53.82416325812552
3,to,9584,62.25447508466376
4,on,6695,68.1435545586489
5,from,5545,73.02106698333112
6,with,5382,77.7552007740687
7,by,4733,81.91845889959097
8,as,4286,85.68852531116681
9,at,1844,87.310551084136
10,into,1221,88.38457140343932
11,about,1047,89.30553723006554
12,like,883,90.08224479922593
13,than,860,90.83872102740027
14,through,718,91.47029071557373
15,during,635,92.02885165149316
16,,627,92.58037559924352
17,according,616,93.12222368826143
18,after,615,93.66319215375819
19,over,611,94.20064212517043
20,without,611,94.73809209658266
21,compared,472,95.15327439855741
22,under,394,95.4998460658838
23,between,392,95.84465848616792
24,among,391,96.1885912829309
25,against,297,96.44983946870738
26,despite,274,96.69085631349782
27,within,266,96.92483617011919
28,towards,242,97.13770506223337
29,around,241,97.34969433082641
30,besides,237,97.55816510533492
31,before,216,97.74816378589964
32,per,210,97.93288472533756
33,since,209,98.11672604125434
34,based,148,98.24691032238202
35,above,137,98.36741874477724
36,including,133,98.48440867308793
37,upon,103,98.57500989576461
38,via,103,98.6656111184413
39,regarding,96,98.75005497647007
40,unlike,93,98.83185996393543
41,given,78,98.9004705985838
42,throughout,77,98.96820160971104
43,such,74,99.0332937502749
44,beyond,72,99.09662664379645
45,because,72,99.15995953731803
46,near,59,99.21185732506487
47,across,56,99.26111624224832
48,until,52,99.30685666534723
49,while,50,99.35083784140389
50,but,49,99.39393939393939
51,behind,48,99.43616132295378
52,out,43,99.4739851343625
53,depending,37,99.5065312046444
54,onto,35,99.53731802788407
55,inside,34,99.56722522760259
56,along,33,99.59625280379998
57,till,32,99.62440075647623
58,below,30,99.65078946211021
59,amongst,24,99.67190042661741
60,concerning,23,99.69213176760347
61,toward,23,99.71236310858951
62,considering,22,99.73171482605446
63,up,21,99.75018691999824
64,except,18,99.76602014337863
65,coupled,17,99.7809737432379
66,worth,14,99.79328847253376
67,following,14,99.80560320182961
68,provided,13,99.81703830760435
69,not,12,99.82759378985794
70,off,12,99.83814927211154
71,online,12,99.84870475436513
72,versus,11,99.8583806130976
73,due,11,99.86805647183006
74,especially,10,99.87685270704138
75,if,9,99.88476931873159
76,outside,9,99.89268593042178
77,involving,8,99.89972291859084
78,alongside,7,99.90588028323877
79,down,6,99.91115802436558
80,combined,6,99.91643576549237
81,past,6,99.92171350661917
82,followed,4,99.9252320007037
83,both,4,99.92875049478823
84,page,3,99.93138936535163
85,that,3,99.93402823591502
86,less,3,99.93666710647842
87,beside,3,99.93930597704183
88,rather,3,99.94194484760523
89,november,3,99.94458371816862
90,plus,3,99.94722258873202
91,excluding,2,99.94898183577429
92,vs.,2,99.95074108281655
93,whether,2,99.95250032985882
94,bbc,2,99.95425957690108
95,notwithstanding,2,99.95601882394335
96,beneath,2,99.95777807098561
97,accounting,2,99.95953731802788
98,thanks,2,99.96129656507014
99,though,2,99.96305581211242
100,2006,1,99.96393543563354
101,particularly,1,99.96481505915467
102,encyclopedia,1,99.9656946826758
103,23volume,1,99.96657430619695
104,defect,1,99.96745392971808
105,tool,1,99.9683335532392
106,january,1,99.96921317676035
107,although,1,99.97009280028149
108,adding,1,99.97097242380262
109,ever,1,99.97185204732375
110,almost,1,99.97273167084488
111,then,1,99.97361129436601
112,the,1,99.97449091788715
113,either,1,99.97537054140828
114,demography,1,99.97625016492941
115,comparative,1,99.97712978845055
116,harness,1,99.97800941197168
117,dec,1,99.97888903549281
118,butler,1,99.97976865901394
119,ed,1,99.98064828253507
120,february,1,99.98152790605621
121,aside,1,99.98240752957734
122,cited,1,99.98328715309847
123,doe,1,99.98416677661962
124,next,1,99.98504640014075
125,beginning,1,99.98592602366188
126,maybe,1,99.986805647183
127,heat,1,99.98768527070413
128,amid,1,99.98856489422528
129,generation,1,99.9894445177464
130,*,1,99.99032414126754
131,there,1,99.99120376478868
132,straight,1,99.99208338830981
133,product,1,99.99296301183094
134,starting,1,99.99384263535207
135,nuclear,1,99.9947222588732
136,form,1,99.99560188239434
137,iv,1,99.99648150591547
138,light,1,99.9973611294366
139,atop,1,99.99824075295774
140,even,1,99.99912037647887
141,usually,1,100.0
