Classifier, Overall, OverallTrain, Changed, WrongCorrection, IncorrectlyChanged, IncorrectlyUnchanged
0.1,0.9575,0.8734,0.9543,0.9236,0.0764,0.0835
0.2,0.9617,0.9388,0.9605,0.9071,0.0929,0.0656
0.3,0.9647,0.9585,0.9633,0.9281,0.0719,0.0808
0.4,0.9679,0.9699,0.9663,0.9316,0.0684,0.0472
0.5,0.9587,0.9813,0.9542,0.9394,0.0606,0.097
0.6,0.9671,0.9771,0.9659,0.9105,0.0895,0.0735
0.7,0.965,0.9802,0.9637,0.9202,0.0798,0.0583
0.8,0.9665,0.9803,0.9643,0.9226,0.0774,0.0991
0.9,0.9683,0.9821,0.965,0.9433,0.0567,0.0752
1.0,0.9687,0.9837,0.966,0.9281,0.0719,0.085
